CLASS,REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN
PATH,183.0,185.0,9,0.0,0.0,2.8888881,1.4246495000000001,5.7777769999999995,5.556445,44.962963,40.666668,55.0,39.22222,-12.888889,30.111109999999996,-17.222220999999998,55.0,0.28574014,-2.0049881999999997
BRICKFACE,35.0,42.0,9,0.11111111,0.0,1.0555558999999999,0.1518514,1.388889,0.5074065999999999,22.592592,20.0,31.111109999999996,16.666667999999998,-7.777777700000001,25.555555,-17.777779000000002,31.111109999999996,0.46275216,-1.8424938999999998
CEMENT,139.0,95.0,9,0.0,0.0,3.6111107000000002,2.524692,7.0555553,5.724864,46.851852,42.88889,56.33333199999999,41.333335999999996,-11.888889,28.444445,-16.555555,56.33333199999999,0.2645714,-1.9708016
SKY,44.0,79.0,9,0.0,0.0,0.44444403,0.34426486,0.7777786,0.4036864,107.74073999999999,93.888885,126.55556000000001,102.77778,-41.555557,56.44444300000001,-14.888889,126.55556000000001,0.2580791,-2.3779652000000002
PATH,119.0,191.0,9,0.0,0.0,3.11111,2.9489486,5.2222233000000005,3.4297178,59.59259399999999,52.333332,75.22222,51.22222,-21.777779000000002,46.88889,-25.11111,75.22222,0.31901047,-2.047053
WINDOW,166.0,36.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRICKFACE,19.0,63.0,9,0.0,0.0,1.2777777,1.5740732,2.1111114,3.096295,20.925926,19.666667999999998,27.777779,15.333332999999998,-3.7777777,20.555555,-16.777779000000002,27.777779,0.44724983,-1.7268302
WINDOW,186.0,89.0,9,0.0,0.0,0.61111134,0.19629638,1.0555557,0.28518525,22.666666,16.444445,33.555557,18.0,-18.666666,32.666668,-14.0,33.555557,0.5094622,-2.188149
FOLIAGE,103.0,130.0,9,0.0,0.0,0.33333334,0.0,0.27777776,0.38968173,0.7777778000000001,0.0,2.3333334999999997,0.0,-2.3333333,4.6666665,-2.3333333,2.3333334999999997,1.0,-2.0943952
GRASS,221.0,201.0,9,0.11111111,0.0,1.4444443,1.1287485000000002,2.4444447,0.8344436,19.148148000000003,14.666667000000002,17.666667999999998,25.11111,-13.444445000000002,-4.4444447,17.88889,25.11111,0.41676173,2.3897470000000003
GRASS,73.0,164.0,9,0.0,0.0,0.94444436,0.5741329000000001,1.888889,1.0470407,23.148148000000003,21.777779000000002,19.11111,28.555555,-4.111111,-12.111111,16.222220999999998,28.555555,0.330345,1.7983025000000001
CEMENT,158.0,76.0,9,0.0,0.0,0.833333,0.65828085,3.277778,3.065339,34.851852,31.888890000000004,42.0,30.666665999999996,-8.888889,21.444445,-12.555555,42.0,0.2703099,-1.9814991000000002
WINDOW,219.0,80.0,9,0.0,0.0,2.0555556,2.9014688,2.9444444,1.0835476000000002,14.481482000000002,11.333333,20.333334,11.777778,-9.444445,17.555555,-8.111111,20.333334,0.43286037,-2.1389007999999996
GRASS,196.0,244.0,9,0.0,0.0,1.277778,0.5518518,3.6111114,6.9518504,7.740741000000001,6.666666499999999,7.0,9.555555,-3.2222223,-2.2222223,5.4444447,9.555555,0.3833719,2.3405869999999998
PATH,60.0,196.0,9,0.0,0.0,1.4444447,1.0470428,4.444444,1.9962916000000002,51.148148,45.333332,63.33333199999999,44.77778,-17.444445,36.555557,-19.11111,63.33333199999999,0.29768870000000003,-2.059262
WINDOW,160.0,95.0,9,0.0,0.0,3.2222223,3.5444269999999998,0.22222225,0.4036867,2.148148,2.1111112000000003,2.5555556,1.7777778000000002,-0.11111111,1.2222222,-1.1111111999999999,2.5555556,0.10119048,-1.6289082000000001
CEMENT,70.0,38.0,9,0.0,0.0,1.2222226999999999,0.2721662,1.0000006,0.76011634,58.0,50.0,74.333336,49.666668,-24.0,49.0,-25.0,74.333336,0.33601543,-2.0785036
PATH,10.0,207.0,9,0.0,0.0,2.61111,1.3066788,3.1111119,3.0086293,52.11111,46.0,64.88889,45.444443,-18.333334,38.333332,-20.0,64.88889,0.29928485,-2.0633535
SKY,9.0,94.0,9,0.0,0.0,0.6111107,0.5518515,1.0000013,0.6666645,113.18518999999999,106.88888500000002,127.55556000000001,105.11111499999998,-18.88889,43.11111,-24.222220999999998,127.55556000000001,0.17678948,-2.015307
GRASS,4.0,188.0,9,0.0,0.0,1.5555555,0.68853056,2.333333,0.7601161999999999,15.740741,13.333332999999998,14.0,19.88889,-7.222222299999999,-5.222222299999999,12.444445,19.88889,0.34240820000000005,2.2046695
BRICKFACE,149.0,92.0,9,0.0,0.0,1.2222223,0.5629635999999999,2.3333333,3.822222,23.666666,23.11111,30.333334000000004,17.555555,-1.6666666,20.0,-18.333334,30.333334000000004,0.4209725,-1.6377774
BRICKFACE,88.0,71.0,9,0.11111111,0.11111111,1.4444447,0.785185,4.5,5.677779,22.333334,21.777779000000002,28.555555,16.666667999999998,-1.6666666,18.666666,-17.0,28.555555,0.41629943,-1.6368633999999997
PATH,11.0,200.0,9,0.0,0.0,3.1666667,3.0313182,3.9444447,2.480293,53.55555699999999,46.444443,67.333336,46.88889,-21.333334,41.333332,-20.0,67.333336,0.31303197,-2.1167326
WINDOW,225.0,36.0,9,0.0,0.0,0.44444457,0.27216554,0.38888893,0.32773070000000004,7.9259257,5.0,13.666667000000002,5.111111,-8.777778,17.222220999999998,-8.444445,13.666667000000002,0.63492066,-2.1073034
BRICKFACE,67.0,61.0,9,0.0,0.0,1.0555557,0.50740737,0.8333333,0.38888904,23.74074,22.666666,30.666665999999996,17.88889,-3.2222223,20.777779000000002,-17.555555,30.666665999999996,0.41575083,-1.7009131000000002
PATH,234.0,175.0,9,0.0,0.0,1.9444441000000003,1.323576,3.4444453999999998,2.2574966,57.77778000000001,50.666668,72.66667,50.0,-21.333334,44.666668,-23.333334,72.66667,0.31203708,-2.0637763
PATH,134.0,194.0,9,0.0,0.0,2.6111107000000002,1.218682,5.222222,4.4355459999999995,58.962963,52.88889,71.55556,52.44444300000001,-18.222220999999998,37.77778,-19.555555,71.55556,0.27344358,-2.0818913
GRASS,60.0,181.0,9,0.11111111,0.0,1.6666666,1.2000005,2.6666667,2.0888875,19.62963,17.11111,17.88889,23.88889,-7.5555553,-5.222222299999999,12.777778,23.88889,0.28569087,2.1891353
PATH,172.0,183.0,9,0.0,0.0,2.8888892999999998,1.6821506000000002,4.0555553,3.0725813,56.33333199999999,50.444443,70.0,48.555557,-17.666666,41.0,-23.333334,70.0,0.30547154,-1.9975766
GRASS,200.0,215.0,9,0.0,0.0,1.5555558999999999,0.95839405,4.722222,2.6450515,23.037036999999998,17.11111,22.555555,29.444445,-17.777779000000002,-1.4444443999999999,19.222220999999998,29.444445,0.42076695,2.5610487
GRASS,24.0,215.0,9,0.22222222,0.0,0.8333333,0.80966425,2.5555556,1.2590423000000002,18.074074,14.222222,15.444445000000002,24.555555,-11.555555,-7.888889,19.444445,24.555555,0.42521268,2.2240132999999997
SKY,89.0,43.0,9,0.0,0.0,1.0555546999999998,0.32962978,0.8888893,0.34074003,107.14815,94.111115,128.22223,99.111115,-39.11111,63.22221999999999,-24.11111,128.22223,0.26602298,-2.247952
SKY,155.0,20.0,9,0.0,0.0,0.61111194,0.32772934,0.61111194,0.32772934,111.703705,98.44444,129.55556,107.11111499999998,-39.77778,53.55555699999999,-13.777778,129.55556,0.24010754,-2.3852131
FOLIAGE,7.0,134.0,9,0.0,0.0,0.055555562999999995,0.018518523999999998,0.055555556,0.01851852,0.037037037,0.0,0.11111111,0.0,-0.11111111,0.22222222,-0.11111111,0.11111111,0.11111111,-2.0943952
GRASS,115.0,156.0,9,0.0,0.0,0.38888870000000003,0.38968167,1.0555553,0.6469302,24.25926,17.222223,26.0,29.555555,-21.11111,5.222222299999999,15.888889,29.555555,0.41732758,2.8434196
PATH,61.0,197.0,9,0.0,0.0,1.4444441000000001,1.5153533000000001,2.6111107000000002,1.9254633999999997,49.592594,44.22222,61.55555699999999,43.0,-16.11111,35.88889,-19.777779000000002,61.55555699999999,0.30292457,-2.0222743000000003
GRASS,233.0,184.0,9,0.0,0.0,0.5000002,0.077777766,0.7777776999999999,0.785185,11.851851,9.777778,9.888889,15.888889,-6.222222299999999,-5.888889,12.111111,15.888889,0.40555555,2.1286457000000003
